Practice,Project Type,Phase,Platform,Tool Type,Tool Name,Link,,,,,,,
Structures,Concrete,2-5,CSI Toolbox,Analysis&Design,Assess Wall Cracking,https://spark.thorntontomasetti.com/docs/DOC-4121-assess-wall-cracking,,,,,,,
Structures,Steel,2-5,CSI Toolbox,Analysis&Design,Extract Member Connection Design Forces,https://spark.thorntontomasetti.com/docs/DOC-4123-extract-member-connection-design-forces,,,,,,,
Structures,Steel,2-5,CSI Toolbox,Analysis&Design,Extract Section Connection Design Forces,https://spark.thorntontomasetti.com/docs/DOC-4125-extract-section-connection-design-forces,,,,,,,
Structures,Steel,2-5,CSI Toolbox,Analysis&Design,Extract Node Connection Design Forces,https://spark.thorntontomasetti.com/docs/DOC-4126-extract-node-connection-design-forces,,,,,,,
Structures,Steel,2-5,CSI Toolbox,Analysis&Design,Export Member Connection Design Forces,https://spark.thorntontomasetti.com/docs/DOC-4123-extract-member-connection-design-forces,,,,,,,
Structures,All,All,CSI Toolbox,Visualization,Mirar Exporter,https://spark.thorntontomasetti.com/groups/core-studio-mirar/blog/2017/12/06/mirar-for-csi-toolbox,,,,,,,
Forensics&PLC&Renewal&Construction,All,8,Web,Visualization,Forensics Information Modeling Portal,https://spark.thorntontomasetti.com/groups/fim-portal,,,,,,,
Structures,All,1-5,Grasshopper,Analysis,TribArea,https://spark.thorntontomasetti.com/videos/1288-tributary-area-equalizer,,,,,,,
Structures,Steel,1-3,Grasshopper,Design&Analysis,Sphynx,https://spark.thorntontomasetti.com/groups/core-grasshopper-toolbox ,,,,,,,
Structures,All,1-4,Grasshopper,Modeling&Analysis,SRep,https://spark.thorntontomasetti.com/groups/core-grasshopper-toolbox/pages/srep,,,,,,,
Structures&Sustainability,All,1-3,Grasshopper,Visualization,Platypus,,,,,,,,
All,All,1-7,Grasshopper,Interoperability,Excel,https://spark.thorntontomasetti.com/docs/DOC-2817-grasshopper-excel-documentation-wiki,,,,,,,
Structures&Sustainability,All,1-3,Grasshopper,Visualization,Spectacles,,,,,,,,
Structures&Sustainability,All,1-4,Grasshopper,Visualization,Colibri,http://core.thorntontomasetti.com/food4rhino-release-second-colibri-release/,,,,,,,
Structures&Sustainability,All,1-4,Grasshopper,Visualization,Mirar,,,,,,,,
Structures,Steel(Confirm),1-3,Grasshopper,Design&Analysis,TT Column (TT Toolbox),,,,,,,,
Structures,Steel,1-3,Grasshopper,Visualization,TT Sweep (TT Toolbox),https://spark.thorntontomasetti.com/docs/DOC-2815-tt-toolbox-component-glossary-wiki,,,,,,,
Structures,Steel&Timber,1-4,Grasshopper,Modeling,Truss Generation (TT Toolbox),https://spark.thorntontomasetti.com/docs/DOC-2820-truss-tools,,,,,,,
All,All,1-4,Grasshopper,Modeling,GH Data Management (TT Toolbox),https://spark.thorntontomasetti.com/docs/DOC-2815-tt-toolbox-component-glossary-wiki,,,,,,,
All,All,1-4,Grasshopper,Modeling,GH Geometry Management (TT Toolbox),https://spark.thorntontomasetti.com/docs/DOC-2815-tt-toolbox-component-glossary-wiki,,,,,,,
All,All,1-4,Grasshopper,Modeling,Octree,,,,,,,,
All,All,1-7,Grasshopper,Interoperability,Konstru,https://konstru.zendesk.com/hc/en-us/articles/115001361151-Grasshopper,,,,,,,
Structures&Sustainability,Steel,1-3,Web,Design&Analysis,Asterisk,https://spark.thorntontomasetti.com/groups/core-studio-application-development/blog/2017/12/08/sneak-peek-asterisk,,,,,,,
Structures,All,2-6,Revit,Analysis,Filter,,,,,,,,
Structures,All,2-6,Revit,Modeling,Measure,,,,,,,,
Structures,All,2-6,Revit,Analysis&Visualization&Verification,Compare Models,https://spark.thorntontomasetti.com/docs/DOC-3759-compare-models,,,,,,,
Structures,All,2-6,Revit,Modeling,Draw Origin,https://spark.thorntontomasetti.com/docs/DOC-3757-draw-origin,,,,,,,
Structures,All,2-6,Revit,Analysis&Modeling,Search and Replace,,,,,,,,
Structures,All,2-6,Revit,Analysis&Modeling,Show Active Workshets Content,https://spark.thorntontomasetti.com/docs/DOC-3760-show-workset-content,,,,,,,
Structures,All,2-6,Revit,Analysis&Modeling,Select Elements You Own,https://spark.thorntontomasetti.com/docs/DOC-4533-select-elements-owned-by-user,,,,,,,
Structures,All,2-6,Revit,Interoperability,Mass Parameter Import,,,,,,,,
Structures,All,2-6,Revit,Interoperability,Revit Server Batch Upload,,,,,,,,
Structures,All,2-6,Revit,Interoperability,Import Reaction Data from Excel,,,,,,,,
Structures,All,2-6,Revit,Interoperability,Import Parameter from Excel,https://spark.thorntontomasetti.com/docs/DOC-3758-import-parameters,,,,,,,
Structures,All,2-6,Revit,Interoperability,Import Excel Sheet to Schedule,,,,,,,,
Structures,All,2-6,Revit,Interoperability,Import Word Document,,,,,,,,
Structures,All,2-6,Revit,Interoperability,Office to Revit Importer,https://spark.thorntontomasetti.com/docs/DOC-3750-office-to-revit-importer-acm-tools-general-tools-office-to-revit-importer,,,,,,,
Structures,All,2-6,Revit,Interoperability,Revit-Excel Sheet Link,https://spark.thorntontomasetti.com/docs/DOC-3755-revit-excel-sheet-link,,,,,,,
Structures,All,2-6,Revit,Interoperability,Export Parameter to Excel,,,,,,,,
Structures,All,2-6,Revit,Interoperability,Batch Export IFC,,,,,,,,
Structures,All,2-6,Revit,Interoperability,Batch Export NWD,,,,,,,,
Structures,All,2-6,Revit,Interoperability,Batch Import DWG,https://spark.thorntontomasetti.com/docs/DOC-3752-mass-dwg-import,,,,,,,
Structures,All,3-6,Revit,Modeling,Beams to Braces,https://spark.thorntontomasetti.com/docs/DOC-4246-frame-to-frame-converter,,,,,,,
Structures,All,3-6,Revit,Modeling,Braces to Beams,https://spark.thorntontomasetti.com/docs/DOC-4246-frame-to-frame-converter,,,,,,,
Structures,All,3-6,Revit,Modeling,Columns to Braces,https://spark.thorntontomasetti.com/docs/DOC-4246-frame-to-frame-converter,,,,,,,
Structures,All,3-6,Revit,Modeling,Braces to Columns,https://spark.thorntontomasetti.com/docs/DOC-4246-frame-to-frame-converter,,,,,,,
Structures,All,3-6,Revit,Modeling,Flip Framing,https://spark.thorntontomasetti.com/docs/DOC-3416-member-flipper,,,,,,,
Structures,All,3-6,Revit,Modeling,Framing Cleanup,https://spark.thorntontomasetti.com/docs/DOC-3764-model-cleanup,,,,,,,
Structures,All,3-6,Revit,Modeling,Framing End Cutback Reset,,,,,,,,
Structures,All,3-6,Revit,Modeling,Align by Curve,,,,,,,,
Structures,All,3-6,Revit,Modeling,Align by Extents,,,,,,,,
Structures,All,3-6,Revit,Modeling,Insert NewLine at Text Overflow,,,,,,,,
Structures,All,3-6,Revit,Modeling,Snap Framing to Reference Plane,https://spark.thorntontomasetti.com/docs/DOC-4523-snap-framing-to-reference-plane,,,,,,,
Structures,All,3-6,Revit,Modeling,Snap Framing to Slab,,,,,,,,
Structures,All,3-6,Revit,Modeling,Snap Slab to Slab,,,,,,,,
Structures,All,3-6,Revit,Modeling,Snap Columns to Grids,,,,,,,,
Structures,All,3-6,Revit,Modeling,Join Columns,https://spark.thorntontomasetti.com/docs/DOC-2973-column-joiner,,,,,,,
Structures,All,3-6,Revit,Modeling,Join Framing,https://spark.thorntontomasetti.com/docs/DOC-3066-join-framing-elements,,,,,,,
Structures,All,3-6,Revit,Modeling,Unjoin Framing,https://spark.thorntontomasetti.com/docs/DOC-3065-unjoin-selected-elements,,,,,,,
Structures,All,3-6,Revit,Modeling,Split Wall,https://spark.thorntontomasetti.com/docs/DOC-3417-wall-splitter,,,,,,,
Structures,All,3-6,Revit,Modeling,Split Column,https://spark.thorntontomasetti.com/docs/DOC-2972-column-splitter,,,,,,,
Structures,All,3-6,Revit,Modeling,Draw Column Rebar,,,,,,,,
Structures,All,3-6,Revit,Modeling,Opening Framing Tool,https://spark.thorntontomasetti.com/docs/DOC-3756-opening-framing-tool,,,,,,,
Structures,All,3-6,Revit,Modeling,Place Nodes,,,,,,,,
Structures,All,3-6,Revit,Modeling,Create Framing Reference Planes,,,,,,,,
Structures,All,3-6,Revit,Modeling,Set Framing Reference Plane,,,,,,,,
Structures,All,3-6,Revit,Modeling,Element Id to Parameter,https://spark.thorntontomasetti.com/docs/DOC-3418-element-id-to-parameter,,,,,,,
Structures,All,3-6,Revit,Modeling,Shape to Parameter,,,,,,,,
Structures,All,3-6,Revit,Modeling,Coordinates to Parameter,,,,,,,,
Structures,All,3-6,Revit,Modeling,QR Code,,,,,,,,
Structures,All,3-6,Revit,Visualization&Analysis&Modeling&Verification,Connectivity Repair,https://spark.thorntontomasetti.com/groups/core-revit-toolbox/blog/2017/09/06/srep-connectivity-repair,,,,,,,
Structures,All,3-6,Revit,Modeling,Datum Driven Connectivity Repair,https://spark.thorntontomasetti.com/docs/DOC-4245-datum-driven-connectivity-repair,,,,,,,
Structures,All,3-6,Revit,Visualization,Generate Tributary Area Views,,,,,,,,
Structures,All,3-6,Revit,Interoperability,Write Areas to Excel,,,,,,,,
Structures,All,3-6,Revit,Analysis,Beam Tributary Data,,,,,,,,
Structures,All,3-6,Revit,Modeling,Brace System Creator,,,,,,,,
Structures,All,3-6,Revit,Analysis,Write SRep to Binary,,,,,,,,
Structures,All,3-6,Revit,Analysis,Write SRep to Json,,,,,,,,
Structures,All,3-6,Revit,Modeling,Go to Active View's Sheet,https://spark.thorntontomasetti.com/docs/DOC-3761-go-to-active-sheet,,,,,,,
Structures,All,3-6,Revit,Modeling,Hide Elements in Views,,,,,,,,
Structures,All,3-6,Revit,Modeling,Hide Section Markers Without Sheet,,,,,,,,
Structures,All,3-6,Revit,Modeling,Toggle Link Visibility in Active View,https://spark.thorntontomasetti.com/docs/DOC-3762-toggle-link-visibility,,,,,,,
Structures,All,3-6,Revit,Modeling,Duplicate Active Sheet,,,,,,,,
Structures,All,3-6,Revit,Modeling,Duplicate Legend and Schedule Viewports,,,,,,,,
Structures,All,3-6,Revit,Modeling,Batch Duplicate Views,,,,,,,,
Structures,All,3-6,Revit,Modeling,Copy View's Content to Drafting View,,,,,,,,
Structures,All,3-6,Revit,Modeling,Create Legend from Filter,,,,,,,,
Structures,All,3-6,Revit,Modeling,Create Section from Grid,,,,,,,,
Structures,All,3-6,Revit,Modeling,Mass Place Views on Sheets,https://spark.thorntontomasetti.com/docs/DOC-3754-mass-place-views-on-sheets,,,,,,,
Structures,All,3-6,Revit,Modeling,Mass Create Sheets,https://spark.thorntontomasetti.com/docs/DOC-3753-mass-create-sheets,,,,,,,
Structures,All,3-6,Revit,Modeling,Delete All Views,,,,,,,,
Structures,All,3-6,Revit,Modeling,View Bookmarks,,,,,,,,
Structures,All,3-6,Revit,Modeling,Family Palette,https://spark.thorntontomasetti.com/docs/DOC-2962-family-palette,,,,,,,
Structures,All,3-6,Revit,Modeling,Detail Palette,https://spark.thorntontomasetti.com/docs/DOC-2979-details-palette,,,,,,,
Structures,All,3-6,Revit,Modeling,Dynamo Palette,,,,,,,,
Structures,All,3-6,Revit,Interoperability,Draw RAM Rebar,https://spark.thorntontomasetti.com/people/RSchmitt@ThorntonTomasetti.com/blog/2017/11/06/ram-concept-to-revit-how-to,,,,,,,
Structures,All,3-6,Revit,Interoperability,Draw SAFE Rebar,https://spark.thorntontomasetti.com/groups/core-revit-toolbox/blog/2018/04/05/safe-to-revit-rebar-alpha,,,,,,,
Structures,All,3-6,Revit,Visualization&Analysis&Verification,Checker,https://spark.thorntontomasetti.com/groups/core-revit-toolbox/blog/2018/02/12/core-checker,,,,,,,
Structures,All,3-6,Revit,Modeling,Create Loading Views,,,,,,,,
Structures,All,3-6,Revit,Modeling,Scope Box Sync,,,,,,,,
Structures,All,3-6,Revit,Modeling,Dimension Override,,,,,,,,
Structures,All,3-6,Revit,Interoperability,Import Reactions from Excel,,,,,,,,
All,Steel& Concrete,1-4,Web,Visualization,Spotlight,https://spark.thorntontomasetti.com/groups/spotlight/blog/2018/01/26/spotlight-how-to-revit,,,,,,,
